order_id,product_id,product_name,category,brand,launch_year
11092023-ELEC-001,PRDELEC001,Bluetooth Speaker,ELECTRONICS,Samsung,2021
24032023-OFFC-111,PRDOFFC111,Sweater,FAHION,Uniqlo,2021
19082023-FASH-002,PRDFASH002,Dining Table,HOME,HomeTown,2023
10072023-KITC-112,PRDKITC112,Sugar Pack,GROCERIES,Nestle,2024
07032023-HOME-003,PRDHOME003,Puzzle Game,TOYS,Hasbro,2023
12032023-GARD-113,PRDGARD113,Skipping Rope,SPORTS,Nike,2022
13122023-GROC-004,PRDGROC004,Fantasy Novel,BOOKS,Random House,2023
01092024-PETS-114,PRDPETS114,Lipstick,BEAUTY,Maybelline,2023
22012023-TOYS-005,PRDTOYS005,Wiper Blades,AUTOMOBILE,Castrol,2023
11032023-MOBL-115,PRDMOBL115,Bandage Pack,MEDICINE,Abbott,2023
25082024-SPORT-006,PRDSPORT006,Pen Set,OFFICE,Staples,2024
22112024-COMP-116,PRDCOMP116,Frying Pan,KITCHEN,Tefal,2024
21072024-BOOK-007,PRDBOOK007,Garden Hose,GARD,Gardena,2021
29082023-GAME-117,PRDGAME117,Cat Litter,PETS,Purina,2022
24082023-BEAU-008,PRDBEAU008,Screen Protector,MOBILE,Anker,2023
18022024-MUSC-118,PRDMUSC118,Graphics Card,COMPUTER,Lenovo,2021
25082024-AUTO-009,PRDAUTO009,Gaming Console,GAME,Sony,2021
03052023-JEWL-119,PRDJEWL119,Drum Set,MUSIC,Fender,2021
14082023-MEDI-010,PRDMEDI010,Charm Pendant,JEWELARY,Pandora,2024
06082024-BABY-120,PRDBABY120,Baby Walker,BABY,Pampers,2023
08012023-OFFC-011,PRDOFFC011,Microwave Oven,ELECTRONICS,Panasonic,2023
10092023-ELEC-121,PRDELEC121,Skirt,FAHION,Uniqlo,2022
14032023-KITC-012,PRDKITC012,Sofa,HOME,Ashley,2023
15082024-FASH-122,PRDFASH122,Sugar Pack,GROCERIES,Britannia,2023
25122024-GARD-013,PRDGARD013,Toy Car,TOYS,Hot Wheels,2021
31082024-HOME-123,PRDHOME123,Basketball,SPORTS,Reebok,2022
08102024-PETS-014,PRDPETS014,Cookbook,BOOKS,Random House,2023
