store_id,store_name,city,store_type,open_year
STR_001,CityMart Central,Delhi,Standalone,2019
STR_220,GreenLeaf Market,Mumbai,Mall,2022
STR_002,Urban Basket,Delhi,OnlineHub,2021
STR_219,FreshWay Superstore,Delhi,Standalone,2022
STR_003,MetroMart Plaza,Mumbai,OnlineHub,2019
STR_218,DailyNeeds Store,Bangalore,OnlineHub,2022
STR_004,Sunrise Grocery,Mumbai,Mall,2022
STR_217,FamilyMart Hub,Bangalore,Mall,2019
STR_005,Prime Basket Store,Delhi,Mall,2018
STR_216,HappyCart Market,Delhi,Mall,2021
STR_006,QuickPick Store,Bangalore,OnlineHub,2019
STR_215,SmartBuy Mart,Delhi,Mall,2020
STR_007,Grand Fresh Market,Bangalore,Mall,2018
STR_214,BlueSky Superstore,Bangalore,Mall,2020
STR_008,Urban Fresh Mart,Delhi,Mall,2018
STR_213,Neighborhood Grocery,Hyderabad,OnlineHub,2021
STR_009,Golden Basket,Bangalore,Mall,2021
STR_212,DailyMart Express,Mumbai,OnlineHub,2022
STR_010,FreshPoint Store,Mumbai,Standalone,2020
STR_211,CityChoice Market,Delhi,OnlineHub,2018
STR_011,TownSquare Mart,Hyderabad,OnlineHub,2021
STR_210,GreenGarden Store,Delhi,Mall,2019
STR_012,Metro Fresh Market,Hyderabad,Standalone,2021
STR_209,Family Basket Store,Bangalore,Standalone,2019
STR_013,QuickMart Hub,Bangalore,Standalone,2018
STR_208,SmartChoice Store,Bangalore,Standalone,2021
STR_014,UrbanCart Market,Bangalore,OnlineHub,2021
STR_207,FreshHarvest Mart,Mumbai,Standalone,2018
STR_015,CityFresh Store,Mumbai,OnlineHub,2021
STR_206,Sunshine Grocery,Delhi,OnlineHub,2019
STR_016,PrimeFresh Market,Hyderabad,OnlineHub,2021
STR_205,Urban Valley Mart,Bangalore,Standalone,2020
STR_017,Green Valley Store,Bangalore,Mall,2022
STR_204,Metro Choice Market,Hyderabad,Mall,2019
STR_018,FreshLand Mart,Hyderabad,Standalone,2020
STR_203,Daily Fresh Store,Delhi,Mall,2018
STR_019,Happy Basket Market,Hyderabad,Mall,2019
STR_202,City Plaza Mart,Bangalore,OnlineHub,2022
STR_020,Urban Market Hub,Bangalore,OnlineHub,2022
STR_201,FreshWay Plaza,Bangalore,Standalone,2018
STR_021,Metro Basket Mart,Bangalore,Standalone,2018
STR_200,GreenMart Express,Bangalore,Mall,2019
STR_022,TownMart Grocery,Delhi,OnlineHub,2021
STR_199,Daily Basket Store,Bangalore,Standalone,2018
STR_023,FreshHub Market,Delhi,Standalone,2021
STR_198,City Harvest Mart,Bangalore,Standalone,2020
STR_024,Urban Choice Store,Mumbai,Standalone,2022
STR_197,Prime Market Hub,Mumbai,Standalone,2021
STR_025,Sunrise Mart,Mumbai,Standalone,2022
STR_196,Happy Fresh Store,Mumbai,Mall,2021
STR_026,Metro Harvest Market,Delhi,OnlineHub,2020
STR_195,City Basket Mart,Delhi,OnlineHub,2018
STR_027,Green Basket Store,Hyderabad,Standalone,2020
STR_194,FreshTown Market,Bangalore,OnlineHub,2018
STR_028,Urban Plaza Mart,Mumbai,OnlineHub,2018
STR_193,Family Harvest Store,Delhi,OnlineHub,2022
STR_029,City Garden Market,Bangalore,Standalone,2020
STR_192,FreshCart Mart,Bangalore,Standalone,2021
STR_030,Urban Harvest Store,Delhi,OnlineHub,2020
STR_191,Prime Fresh Mart,Mumbai,OnlineHub,2022
STR_031,Green Harvest Market,Hyderabad,Standalone,2018
STR_190,Daily Choice Store,Bangalore,Mall,2022
STR_032,Metro Garden Mart,Hyderabad,OnlineHub,2019
STR_189,Fresh Basket Market,Mumbai,Mall,2019
STR_033,City Corner Mart,Mumbai,OnlineHub,2021
STR_188,Urban Fresh Hub,Hyderabad,Mall,2022
STR_034,Town Fresh Store,Mumbai,Mall,2021
STR_187,Happy Garden Market,Bangalore,Mall,2021
STR_035,Metro Valley Mart,Hyderabad,Standalone,2019
STR_186,City Market Square,Mumbai,Mall,2021
STR_036,Urban Green Store,Hyderabad,Mall,2019
STR_185,FreshMart Express,Bangalore,Mall,2018
STR_037,GreenChoice Market,Mumbai,OnlineHub,2022
STR_184,City Fresh Plaza,Bangalore,Mall,2021
STR_038,Urban Fresh Square,Mumbai,OnlineHub,2019
STR_183,Metro Fresh Hub,Delhi,Mall,2020
STR_039,Town Choice Store,Mumbai,Mall,2021
STR_182,Prime Valley Market,Hyderabad,Standalone,2018
STR_040,FreshLand Plaza,Mumbai,OnlineHub,2018
STR_181,City Daily Mart,Bangalore,Mall,2020
STR_041,Green Daily Store,Bangalore,OnlineHub,2019
STR_180,Urban Prime Market,Mumbai,OnlineHub,2021
STR_042,Metro Fresh Plaza,Hyderabad,Standalone,2019
STR_179,Family Market Square,Delhi,Standalone,2018
STR_043,Happy Mart Express,Hyderabad,Standalone,2019
STR_178,City Basket Plaza,Delhi,Standalone,2018
STR_044,Urban Market Square,Bangalore,Standalone,2019
STR_177,FreshGarden Mart,Hyderabad,Standalone,2020
STR_045,Prime Harvest Store,Delhi,Standalone,2022
STR_176,Metro Choice Hub,Mumbai,Standalone,2020
STR_046,Green Fresh Market,Bangalore,Mall,2020
STR_175,City Choice Hub,Mumbai,OnlineHub,2022
STR_047,Urban Basket Plaza,Bangalore,Standalone,2022
STR_174,FreshTown Square,Hyderabad,Standalone,2021
STR_048,Happy Harvest Mart,Hyderabad,OnlineHub,2021
STR_173,Metro Basket Plaza,Bangalore,Mall,2020
STR_049,GreenTown Market,Bangalore,OnlineHub,2020
STR_172,City Garden Plaza,Bangalore,OnlineHub,2018
